Rank,Ticker,3M Momentum (%),Sentiment,Entry ($),Stop Loss ($),Target 1 ($)
1,COIN,36.91,Bullish,203.56,195.42,215.77
2,AMD,29.64,Neutral-Positive,608.73,584.38,645.25
3,META,24.97,Cautious,743.8,714.05,788.43
4,INTC,24.53,Neutral-Positive,121.45,116.59,128.74
5,TSLA,13.22,Cautious,374.58,359.6,397.05
6,AAPL,9.62,Neutral-Positive,337.95,324.43,358.23
7,NVDA,4.53,Neutral-Positive,227.12,218.04,240.75
8,PLTR,3.69,Cautious,181.7,174.43,192.6
9,DIS,0.92,Bullish,104.13,99.96,110.38
10,GOOGL,-0.45,Bullish,355.67,341.44,377.01
11,MSFT,-1.26,Neutral-Positive,498.76,478.81,528.69
12,JPM,-2.26,Bullish,351.64,337.57,372.74
13,NFLX,-3.95,Cautious,73.28,70.35,77.68
14,AMZN,-7.1,Neutral-Positive,258.33,248.0,273.83
15,BA,-13.71,Neutral-Positive,200.88,192.84,212.93
